-----------------------------------
IP Address	MAC Address
-----------------------------------
192.168.0.1	18:b1:69:5f:ff:bc
192.168.1.10	08:94:ef:fc:ec:da
192.168.1.11	7c:8a:e1:d7:6b:64
192.168.1.12	24:0f:9b:14:5b:4e
192.168.1.13	24:28:fd:ac:61:f7
192.168.0.14	c4:34:6b:71:05:4e
192.168.1.14	24:28:fd:ac:61:f6
192.168.1.15	24:28:fd:ac:61:ee
192.168.1.17	24:28:fd:ac:61:d7
192.168.1.19	24:28:fd:ac:61:ed
192.168.1.18	24:28:fd:ac:60:cc
192.168.1.16	24:28:fd:ac:61:e6
192.168.1.25	00:00:c0:3f:ca:8c
192.168.0.29	74:2b:62:f4:7f:b5
192.168.0.33	7c:5a:1c:21:50:d8
192.168.1.34	00:17:61:11:0c:0a
192.168.1.35	00:17:61:10:a5:7f
192.168.1.52	64:00:6a:0a:91:65
192.168.1.54	64:00:6a:4b:6c:4b
192.168.1.57	f4:8e:38:7d:98:dd
192.168.1.60	c4:34:6b:6f:44:89
192.168.1.61	f4:8e:38:79:65:c3
192.168.1.63	64:00:6a:22:26:7e
192.168.1.66	88:51:fb:82:07:7b
192.168.1.67	f4:8e:38:8a:35:82
192.168.1.75	64:00:6a:42:12:dd
192.168.0.84	64:00:6a:0b:9c:dc
192.168.0.87	f4:30:b9:12:f1:99
192.168.0.96	64:00:6a:07:77:c6
192.168.1.110	bc:c3:42:05:19:1d
192.168.1.112	08:00:23:57:10:fc
192.168.1.111	bc:c3:42:05:19:1e
192.168.1.113	08:00:23:57:10:fd
192.168.1.119	f0:9f:fc:60:f1:5a
192.168.1.120	24:31:84:a9:f4:dc
192.168.1.122	14:50:51:3f:c1:c6
192.168.1.125	44:37:e6:2b:f3:11
192.168.0.141	c4:a7:2b:af:43:29
192.168.1.145	c4:34:6b:6d:5a:12
192.168.1.149	c4:34:6b:6e:d6:5c
192.168.1.153	2c:41:38:16:ce:00
192.168.0.156	f4:8e:38:8a:33:1d
192.168.0.164	7c:5a:1c:21:4e:80
192.168.0.170	c4:34:6b:6f:eb:b9
192.168.1.170	54:05:db:09:71:44
192.168.1.174	18:03:73:14:fe:51
192.168.1.175	00:22:4d:48:ce:d3
192.168.0.177	7c:5a:1c:21:4e:08
192.168.0.40	f4:8c:50:01:9e:f1
192.168.1.211	64:00:6a:25:8c:b3
192.168.1.27	50:49:b0:c8:f0:53
192.168.1.213	7c:5a:1c:21:4d:2c
192.168.1.207	dc:21:48:03:56:1f
192.168.1.220	8c:dc:d4:36:2b:31
192.168.1.226	4c:cc:6a:1f:4d:86
192.168.1.232	c4:34:6b:6f:4d:12
192.168.1.241	c4:34:6b:70:66:52
192.168.1.247	18:03:73:18:68:d7
192.168.1.252	64:00:6a:40:83:5b
192.168.0.240	7c:70:db:bd:12:03
192.168.1.103	3c:f8:62:8e:0c:5b
192.168.1.133	48:45:20:54:1f:3c
192.168.1.134	f0:d5:bf:c1:ba:dd
192.168.1.124	4e:b7:a9:5d:19:7b
192.168.1.141	e4:b3:18:a1:e7:3f
192.168.1.150	d4:6d:6d:da:ae:1c
192.168.1.147	a4:34:d9:f3:93:0f
192.168.1.159	28:b2:bd:3c:33:6d
192.168.1.158	e8:b1:fc:27:84:09
192.168.1.162	e8:b1:fc:a9:d6:0c
192.168.1.154	8c:70:5a:9e:13:ec
192.168.1.171	f0:d5:bf:cc:bf:d7
192.168.1.184	4c:34:88:52:e9:91
192.168.1.181	a4:34:d9:b5:46:81
192.168.1.196	22:30:4f:d7:de:3d
192.168.1.195	64:80:99:99:37:84
192.168.1.198	6c:88:14:7e:83:30
192.168.1.183	e8:2a:ea:1f:8d:a3
192.168.1.200	7c:76:35:ab:2b:56
192.168.1.209	f4:8c:50:39:4d:dd
192.168.1.222	a4:34:d9:b8:6a:91
192.168.1.208	f4:8c:50:3a:72:1c
192.168.0.18	48:45:20:36:09:2f
192.168.1.224	d4:6d:6d:da:7c:1c
192.168.1.239	6c:88:14:7f:52:14
192.168.0.225	d4:6d:6d:da:99:b8
192.168.1.231	e0:9d:31:1c:c6:c8
192.168.1.234	7c:76:35:aa:8b:7e
192.168.1.245	5c:e0:c5:bb:ca:b0
192.168.1.219	14:ab:c5:7d:8f:a2
192.168.1.246	9a:ec:f2:21:e7:5b
192.168.1.248	d4:25:8b:ce:c2:e6
192.168.1.240	ec:63:d7:44:dc:a2
192.168.1.250	f4:8c:50:3a:bd:80
192.168.1.91	40:9f:38:5a:a7:31
